mini_dow_date,mini_dow_time,mini_dow_open,mini_dow_high,mini_dow_close,mini_dow_low,mini_dow_volume,predict
2019-08-12,07:59:00,26083,26154,26130,26073,7316,0
2019-08-12,08:59:00,26131,26153,26072,26033,23465,0
2019-08-12,09:59:00,26074,26168,26094,26048,27809,0
2019-08-12,10:59:00,26093,26093,26046,25967,22610,0
2019-08-12,11:59:00,26046,26072,26006,25980,16723,0
2019-08-12,12:59:00,26005,26018,25954,25943,13594,1
2019-08-12,13:59:00,25953,25978,25822,25804,20491,0
2019-08-12,14:59:00,25822,25905,25897,25803,21359,0
2019-08-12,15:59:00,25896,25902,25883,25851,6602,0
2019-08-12,16:00:00,25884,25886,25883,25882,39,0
2019-08-12,17:59:00,25872,25915,25911,25864,1754,0
2019-08-12,18:59:00,25911,25929,25922,25886,3237,0
2019-08-12,19:59:00,25925,25949,25922,25908,3492,0
2019-08-12,20:59:00,25921,25956,25894,25893,3795,0
2019-08-12,21:59:00,25894,25933,25917,25875,2608,0
2019-08-12,22:59:00,25918,25928,25910,25904,1021,0
2019-08-12,23:59:00,25910,25929,25920,25906,1132,0
2019-08-13,00:59:00,25919,25931,25906,25898,2114,0
2019-08-13,01:59:00,25905,25919,25803,25785,7270,0
2019-08-13,02:59:00,25804,25864,25796,25776,8881,0
2019-08-13,03:59:00,25796,25894,25880,25793,6037,0
2019-08-13,04:59:00,25879,25880,25793,25750,8278,0
2019-08-13,05:59:00,25794,25855,25849,25757,6314,0
2019-08-13,06:59:00,25848,25867,25808,25787,5662,0
2019-08-13,07:59:00,25808,25824,25804,25756,8892,0
2019-08-13,08:59:00,25804,26333,26301,25791,37996,0
2019-08-13,09:59:00,26300,26408,26287,26242,44340,0
2019-08-13,10:59:00,26287,26332,26294,26202,30399,0
2019-08-13,11:59:00,26293,26351,26279,26258,16342,0
2019-08-13,12:59:00,26279,26334,26282,26232,18929,0
2019-08-13,13:59:00,26282,26334,26293,26273,12322,0
2019-08-13,14:59:00,26294,26301,26249,26231,17869,0
2019-08-13,15:59:00,26249,26333,26314,26241,7059,0
2019-08-13,16:00:00,26314,26319,26315,26314,30,0
2019-08-13,17:59:00,26302,26327,26315,26281,1763,0
2019-08-13,18:59:00,26317,26343,26319,26306,3300,0
2019-08-13,19:59:00,26321,26329,26299,26283,2994,0
2019-08-13,20:59:00,26297,26352,26282,26263,3876,0
2019-08-13,21:59:00,26282,26285,26259,26240,2669,0
2019-08-13,22:59:00,26260,26280,26273,26250,2799,0
2019-08-13,23:59:00,26273,26315,26304,26272,2088,0
2019-08-14,00:59:00,26303,26317,26293,26284,1455,0
2019-08-14,01:59:00,26292,26310,26293,26274,2513,0
2019-08-14,02:59:00,26291,26291,26244,26222,5509,0
2019-08-14,03:59:00,26243,26272,26214,26189,5331,0
2019-08-14,04:59:00,26213,26220,26166,26150,4822,0
2019-08-14,05:59:00,26165,26165,26061,26042,9290,0
2019-08-14,06:59:00,26062,26083,25944,25911,10688,0
2019-08-14,07:59:00,25943,25981,25960,25890,13372,0
2019-08-14,08:59:00,25959,25973,25889,25790,39331,1
2019-08-14,09:59:00,25888,25889,25743,25742,35135,0
2019-08-14,10:59:00,25743,25757,25638,25618,38045,0
2019-08-14,11:59:00,25638,25662,25531,25524,32171,0
2019-08-14,12:59:00,25532,25681,25621,25498,30979,0
2019-08-14,13:59:00,25621,25638,25537,25472,29730,0
2019-08-14,14:59:00,25537,25617,25474,25458,48654,0
2019-08-14,15:59:00,25473,25496,25415,25410,10384,0
2019-08-14,16:00:00,25415,25415,25412,25412,52,0
2019-08-14,17:59:00,25373,25450,25420,25366,3862,0
2019-08-14,18:59:00,25422,25505,25504,25405,3434,0
2019-08-14,19:59:00,25505,25534,25508,25485,5140,0
2019-08-14,20:59:00,25507,25577,25569,25488,6391,0
2019-08-14,21:59:00,25570,25584,25567,25540,4263,0
2019-08-14,22:59:00,25567,25575,25496,25491,3843,0
2019-08-14,23:59:00,25495,25530,25525,25466,3787,0
2019-08-15,00:59:00,25526,25572,25558,25516,4298,0
2019-08-15,01:59:00,25557,25651,25632,25555,6780,0
2019-08-15,02:59:00,25634,25643,25600,25529,8392,0
2019-08-15,03:59:00,25600,25638,25600,25562,6815,1
2019-08-15,04:59:00,25598,25602,25405,25353,18626,0
2019-08-15,05:59:00,25404,25416,25301,25226,17577,0
2019-08-15,06:59:00,25300,25670,25567,25298,20874,0
2019-08-15,07:59:00,25571,25707,25613,25525,17725,0
2019-08-15,08:59:00,25614,25639,25546,25422,37233,0
2019-08-15,09:59:00,25546,25585,25508,25432,27534,0
2019-08-15,10:59:00,25508,25541,25533,25405,22424,0
2019-08-15,11:59:00,25534,25603,25533,25513,18746,1
2019-08-15,12:59:00,25533,25578,25350,25328,22678,0
2019-08-15,13:59:00,25349,25534,25512,25327,28022,0
2019-08-15,14:59:00,25511,25629,25582,25511,26370,0
2019-08-15,15:59:00,25582,25606,25598,25555,5382,0
2019-08-15,16:00:00,25601,25604,25604,25598,35,0
2019-08-15,17:59:00,25585,25654,25626,25581,2321,0
2019-08-15,18:59:00,25627,25639,25611,25600,1238,0
2019-08-15,19:59:00,25611,25682,25668,25576,4584,0
2019-08-15,20:59:00,25666,25701,25675,25663,4077,0
2019-08-15,21:59:00,25677,25717,25711,25672,3364,0
2019-08-15,22:59:00,25710,25740,25730,25699,2909,0
2019-08-15,23:59:00,25730,25734,25703,25691,2810,0
2019-08-16,00:59:00,25702,25758,25757,25690,3182,0
2019-08-16,01:59:00,25757,25759,25705,25696,3363,0
2019-08-16,02:59:00,25704,25754,25725,25682,5600,0
2019-08-16,03:59:00,25725,25827,25823,25722,5726,0
2019-08-16,04:59:00,25822,25840,25823,25785,5722,0
2019-08-16,05:59:00,25823,25833,25820,25793,4650,0
2019-08-16,06:59:00,25820,25836,25795,25787,4323,0
2019-08-16,07:59:00,25794,25824,25792,25773,5882,0
2019-08-16,08:59:00,25790,25799,25717,25683,23361,0
2019-08-16,09:59:00,25716,25897,25894,25688,32203,0
2019-08-16,10:59:00,25895,25913,25862,25817,20278,0
2019-08-16,11:59:00,25863,25872,25851,25804,11877,0
2019-08-16,12:59:00,25850,25893,25873,25843,9068,0
2019-08-16,13:59:00,25874,25875,25840,25811,9281,0
2019-08-16,14:59:00,25840,25927,25896,25821,18712,0
2019-08-16,15:59:00,25895,25929,25913,25868,7441,0
2019-08-16,16:00:00,25913,25915,25913,25913,39,0
2019-08-18,17:59:00,25912,26056,26036,25912,3477,0
2019-08-18,18:59:00,26036,26062,26054,26018,1498,0
2019-08-18,19:59:00,26053,26058,26022,26002,2583,0
2019-08-18,20:59:00,26022,26053,26035,26021,1717,0
2019-08-18,21:59:00,26032,26058,26049,26020,1572,0
2019-08-18,22:59:00,26049,26052,26041,26035,796,0
2019-08-18,23:59:00,26041,26045,26041,26031,688,0
2019-08-19,00:59:00,26042,26072,26065,26040,2466,0
2019-08-19,01:59:00,26065,26138,26136,26060,4368,0
2019-08-19,02:59:00,26135,26170,26122,26109,5218,0
2019-08-19,03:59:00,26122,26138,26091,26084,3907,0
2019-08-19,04:59:00,26092,26141,26135,26088,2401,0
2019-08-19,05:59:00,26137,26196,26171,26114,5466,0
2019-08-19,06:59:00,26169,26237,26195,26146,5930,0
2019-08-19,07:59:00,26195,26211,26186,26154,5791,0
2019-08-19,08:59:00,26186,26227,26151,26124,18926,0
2019-08-19,09:59:00,26151,26156,26143,26081,20331,0
2019-08-19,10:59:00,26144,26190,26142,26130,17168,0
2019-08-19,11:59:00,26143,26184,26174,26126,13464,0
2019-08-19,12:59:00,26174,26199,26156,26155,8050,0
2019-08-19,13:59:00,26157,26189,26168,26139,8115,0
2019-08-19,14:59:00,26169,26181,26142,26140,12465,0
2019-08-19,15:59:00,26142,26150,26115,26104,5210,0
2019-08-19,16:00:00,26115,26119,26116,26115,25,0
2019-08-19,17:59:00,26102,26128,26123,26100,1169,0
