mtx_date,mtx_time,mtx_open,mtx_high,mtx_close,mtx_low,mtx_volume,predict
2020-12-16,11:15:00,14291.0,14295.0,14300.0,14285.0,1852.0,0
2020-12-16,11:30:00,14294.0,14289.0,14298.0,14283.0,1373.0,0
2020-12-16,11:45:00,14289.0,14310.0,14312.0,14285.0,2602.0,0
2020-12-16,12:00:00,14311.0,14302.0,14318.0,14301.0,2320.0,0
2020-12-16,12:15:00,14302.0,14297.0,14313.0,14296.0,1827.0,1
2020-12-16,12:30:00,14297.0,14305.0,14309.0,14294.0,1422.0,0
2020-12-16,12:45:00,14305.0,14293.0,14308.0,14283.0,4048.0,0
2020-12-16,13:00:00,14292.0,14327.0,14328.0,14277.0,5956.0,0
2020-12-16,13:15:00,14327.0,14323.0,14329.0,14321.0,6220.0,0
2020-12-16,13:30:00,14324.0,14323.0,14324.0,14323.0,512.0,0
2020-12-16,15:00:00,14203.0,14224.0,14230.0,14190.0,4408.0,1
2020-12-16,15:15:00,14224.0,14216.0,14225.0,14215.0,1153.0,0
2020-12-16,15:30:00,14215.0,14226.0,14226.0,14212.0,1129.0,0
2020-12-16,15:45:00,14226.0,14218.0,14230.0,14218.0,1151.0,0
2020-12-16,16:00:00,14218.0,14228.0,14230.0,14215.0,1158.0,0
2020-12-16,16:15:00,14228.0,14230.0,14234.0,14226.0,1186.0,0
2020-12-16,16:30:00,14230.0,14232.0,14236.0,14230.0,810.0,0
2020-12-16,16:45:00,14233.0,14228.0,14235.0,14228.0,573.0,0
2020-12-16,17:00:00,14229.0,14223.0,14231.0,14223.0,825.0,0
2020-12-16,17:15:00,14223.0,14228.0,14228.0,14222.0,327.0,0
2020-12-16,17:30:00,14227.0,14227.0,14231.0,14226.0,353.0,0
2020-12-16,17:45:00,14227.0,14223.0,14228.0,14222.0,404.0,0
2020-12-16,18:00:00,14223.0,14223.0,14225.0,14218.0,555.0,0
2020-12-16,18:15:00,14224.0,14230.0,14230.0,14223.0,291.0,0
2020-12-16,18:30:00,14230.0,14226.0,14230.0,14224.0,261.0,0
2020-12-16,18:45:00,14226.0,14230.0,14231.0,14225.0,306.0,0
2020-12-16,19:00:00,14230.0,14228.0,14231.0,14226.0,287.0,0
2020-12-16,19:15:00,14228.0,14231.0,14234.0,14227.0,336.0,0
2020-12-16,19:30:00,14230.0,14227.0,14230.0,14226.0,367.0,0
2020-12-16,19:45:00,14226.0,14228.0,14230.0,14226.0,177.0,0
