mini_dow_date,mini_dow_time,mini_dow_open,mini_dow_high,mini_dow_low,mini_dow_close,mini_dow_volume,predict
2020-01-13,10:00:00,28837.0,28853.0,28815.0,28871.0,16707,0
2020-01-13,11:00:00,28854.0,28851.0,28842.0,28872.0,8792,0
2020-01-13,12:00:00,28850.0,28826.0,28826.0,28854.0,6681,0
2020-01-13,13:00:00,28826.0,28848.0,28817.0,28850.0,7424,0
2020-01-13,14:00:00,28847.0,28860.0,28823.0,28865.0,9255,0
2020-01-13,15:00:00,28860.0,28866.0,28857.0,28883.0,4455,0
2020-01-13,16:00:00,28866.0,28862.0,28857.0,28866.0,257,0
2020-01-13,17:00:00,28874.0,28910.0,28866.0,28915.0,2025,0
2020-01-13,18:00:00,28910.0,28921.0,28905.0,28940.0,2869,0
2020-01-13,19:00:00,28920.0,28904.0,28901.0,28926.0,1985,0
2020-01-13,20:00:00,28903.0,28902.0,28892.0,28914.0,1505,0
2020-01-13,21:00:00,28902.0,28871.0,28856.0,28902.0,2630,0
2020-01-13,22:00:00,28871.0,28874.0,28864.0,28877.0,1146,0
2020-01-13,23:00:00,28874.0,28859.0,28856.0,28883.0,1219,0
2020-01-14,00:00:00,28859.0,28877.0,28857.0,28880.0,1372,0
2020-01-14,01:00:00,28877.0,28836.0,28836.0,28883.0,2338,0
2020-01-14,02:00:00,28836.0,28801.0,28737.0,28841.0,10996,0
2020-01-14,03:00:00,28801.0,28893.0,28801.0,28905.0,8609,0
2020-01-14,04:00:00,28893.0,28856.0,28832.0,28901.0,6089,0
2020-01-14,05:00:00,28855.0,28864.0,28807.0,28868.0,6687,0
2020-01-14,06:00:00,28863.0,28864.0,28858.0,28895.0,5204,0
2020-01-14,07:00:00,28865.0,28888.0,28844.0,28904.0,6066,0
2020-01-14,08:00:00,28888.0,28853.0,28833.0,28896.0,28282,0
2020-01-14,09:00:00,28853.0,28917.0,28847.0,28946.0,29598,0
2020-01-14,10:00:00,28919.0,28990.0,28917.0,28995.0,20112,0
2020-01-14,11:00:00,28989.0,29003.0,28970.0,29010.0,10723,0
2020-01-14,12:00:00,29003.0,28939.0,28907.0,29015.0,27641,0
2020-01-14,13:00:00,28938.0,28916.0,28850.0,28953.0,25736,0
2020-01-14,14:00:00,28916.0,28888.0,28858.0,28926.0,22930,0
2020-01-14,15:00:00,28888.0,28929.0,28885.0,28937.0,5438,0
2020-01-14,16:00:00,28928.0,28928.0,28926.0,28929.0,28,0
2020-01-14,17:00:00,28934.0,28864.0,28859.0,28935.0,3318,0
2020-01-14,18:00:00,28864.0,28867.0,28845.0,28882.0,3358,0
2020-01-14,19:00:00,28867.0,28895.0,28867.0,28915.0,2866,0
2020-01-14,20:00:00,28894.0,28858.0,28844.0,28895.0,2523,0
2020-01-14,21:00:00,28857.0,28859.0,28838.0,28863.0,1967,0
2020-01-14,22:00:00,28859.0,28862.0,28847.0,28867.0,1444,0
2020-01-14,23:00:00,28862.0,28869.0,28848.0,28879.0,1475,0
2020-01-15,00:00:00,28868.0,28881.0,28862.0,28887.0,1445,0
2020-01-15,01:00:00,28882.0,28899.0,28878.0,28904.0,1970,0
2020-01-15,02:00:00,28899.0,28889.0,28857.0,28911.0,5714,0
2020-01-15,03:00:00,28889.0,28882.0,28870.0,28889.0,2603,0
2020-01-15,04:00:00,28882.0,28904.0,28879.0,28907.0,3091,0
2020-01-15,05:00:00,28904.0,28921.0,28904.0,28931.0,5009,0
2020-01-15,06:00:00,28920.0,28906.0,28871.0,28922.0,8200,0
2020-01-15,07:00:00,28906.0,28860.0,28846.0,28917.0,6330,0
2020-01-15,08:00:00,28859.0,28998.0,28847.0,29008.0,33537,0
2020-01-15,09:00:00,28998.0,29070.0,28997.0,29078.0,33525,0
2020-01-15,10:00:00,29070.0,29037.0,29018.0,29090.0,24475,0
2020-01-15,11:00:00,29037.0,29008.0,29002.0,29073.0,13072,0
2020-01-15,12:00:00,29008.0,28990.0,28970.0,29025.0,19111,0
2020-01-15,13:00:00,28991.0,29039.0,28991.0,29068.0,12596,0
2020-01-15,14:00:00,29039.0,28984.0,28930.0,29039.0,30775,0
2020-01-15,15:00:00,28985.0,29031.0,28983.0,29034.0,5570,0
2020-01-15,16:00:00,29032.0,29035.0,29030.0,29035.0,28,0
2020-01-15,17:00:00,29034.0,29052.0,29033.0,29079.0,2846,0
2020-01-15,18:00:00,29052.0,29043.0,29037.0,29063.0,1603,0
2020-01-15,19:00:00,29044.0,29052.0,29034.0,29057.0,1693,0
2020-01-15,20:00:00,29053.0,29045.0,29039.0,29061.0,1246,0
2020-01-15,21:00:00,29047.0,29050.0,29032.0,29051.0,1161,0
2020-01-15,22:00:00,29049.0,29063.0,29049.0,29067.0,856,0
2020-01-15,23:00:00,29064.0,29077.0,29062.0,29083.0,958,0
2020-01-16,00:00:00,29077.0,29070.0,29065.0,29080.0,1257,0
2020-01-16,01:00:00,29070.0,29076.0,29058.0,29079.0,1787,0
2020-01-16,02:00:00,29076.0,29116.0,29075.0,29145.0,8545,0
2020-01-16,03:00:00,29114.0,29097.0,29084.0,29124.0,4478,0
2020-01-16,04:00:00,29098.0,29108.0,29084.0,29113.0,3402,0
2020-01-16,05:00:00,29109.0,29109.0,29087.0,29114.0,2667,0
2020-01-16,06:00:00,29110.0,29094.0,29090.0,29119.0,2425,0
2020-01-16,07:00:00,29095.0,29112.0,29092.0,29122.0,4767,0
2020-01-16,08:00:00,29111.0,29132.0,29103.0,29163.0,28229,0
2020-01-16,09:00:00,29131.0,29155.0,29121.0,29174.0,21927,0
2020-01-16,10:00:00,29155.0,29155.0,29132.0,29167.0,15279,0
2020-01-16,11:00:00,29155.0,29148.0,29133.0,29163.0,7210,0
2020-01-16,12:00:00,29148.0,29166.0,29140.0,29171.0,7225,0
2020-01-16,13:00:00,29167.0,29172.0,29155.0,29174.0,6974,0
2020-01-16,14:00:00,29171.0,29248.0,29163.0,29251.0,19238,0
2020-01-16,15:00:00,29250.0,29259.0,29232.0,29263.0,6979,0
2020-01-16,16:00:00,29260.0,29258.0,29257.0,29260.0,54,0
2020-01-16,17:00:00,29245.0,29285.0,29242.0,29317.0,3521,0
2020-01-16,18:00:00,29287.0,29285.0,29276.0,29292.0,1941,0
2020-01-16,19:00:00,29285.0,29277.0,29262.0,29287.0,1853,0
2020-01-16,20:00:00,29276.0,29284.0,29274.0,29299.0,2041,0
2020-01-16,21:00:00,29284.0,29281.0,29276.0,29289.0,964,0
2020-01-16,22:00:00,29282.0,29275.0,29274.0,29285.0,711,0
2020-01-16,23:00:00,29275.0,29285.0,29269.0,29287.0,1293,0
2020-01-17,00:00:00,29284.0,29286.0,29278.0,29290.0,1048,0
2020-01-17,01:00:00,29286.0,29305.0,29282.0,29307.0,2155,0
2020-01-17,02:00:00,29305.0,29323.0,29304.0,29340.0,6392,0
2020-01-17,03:00:00,29322.0,29321.0,29299.0,29325.0,4324,0
2020-01-17,04:00:00,29321.0,29315.0,29309.0,29338.0,3789,0
2020-01-17,05:00:00,29314.0,29316.0,29307.0,29327.0,2075,0
2019-10-31,14:00:00,26880.0,26955.0,26872.0,26955.0,19088,0
2019-10-31,15:00:00,26956.0,26981.0,26954.0,27004.0,10866,0
2019-10-31,16:00:00,26980.0,26979.0,26978.0,26982.0,46,0
2019-10-31,17:00:00,26992.0,26966.0,26959.0,26992.0,707,0
2019-10-31,18:00:00,26964.0,26974.0,26962.0,26980.0,441,0
2019-10-31,19:00:00,26974.0,26987.0,26970.0,26998.0,1408,0
2019-10-31,20:00:00,26988.0,27040.0,26985.0,27045.0,3046,0
2019-10-31,21:00:00,27040.0,27041.0,27032.0,27045.0,1639,0
2019-10-31,22:00:00,27042.0,27037.0,27031.0,27044.0,1107,0
2019-10-31,23:00:00,27038.0,27043.0,27033.0,27043.0,719,0
2019-11-01,00:00:00,27043.0,27054.0,27036.0,27057.0,1579,0
2019-11-01,01:00:00,27052.0,27056.0,27041.0,27058.0,1394,0
2019-11-01,02:00:00,27056.0,27029.0,27011.0,27059.0,2319,0
2019-11-01,03:00:00,27030.0,27023.0,27012.0,27047.0,3975,0
2019-11-01,04:00:00,27022.0,27033.0,27020.0,27039.0,1634,0
2019-11-01,05:00:00,27033.0,27038.0,27026.0,27041.0,1586,0
2019-11-01,06:00:00,27039.0,27009.0,27004.0,27043.0,3009,0
2019-11-01,07:00:00,27008.0,27093.0,26999.0,27104.0,9828,0
2019-11-01,08:00:00,27093.0,27147.0,27087.0,27165.0,22091,0
2019-11-01,09:00:00,27146.0,27229.0,27113.0,27242.0,28976,0
2019-11-01,10:00:00,27229.0,27242.0,27212.0,27254.0,15242,0
2019-11-01,11:00:00,27241.0,27213.0,27202.0,27245.0,13397,0
2019-11-01,12:00:00,27214.0,27239.0,27207.0,27259.0,11399,0
2019-11-01,13:00:00,27240.0,27235.0,27217.0,27247.0,8176,0
2019-11-01,14:00:00,27235.0,27258.0,27217.0,27272.0,15332,0
2019-11-01,15:00:00,27259.0,27265.0,27251.0,27278.0,7559,0
2019-11-01,16:00:00,27266.0,27264.0,27264.0,27269.0,73,0
2019-11-03,17:00:00,27278.0,27303.0,27274.0,27318.0,2251,0
2019-11-03,18:00:00,27302.0,27293.0,27291.0,27305.0,888,0
2019-11-03,19:00:00,27292.0,27311.0,27290.0,27316.0,1350,0
2019-11-03,20:00:00,27311.0,27335.0,27308.0,27336.0,1381,0
2019-11-03,21:00:00,27336.0,27326.0,27326.0,27340.0,844,0
2019-11-03,22:00:00,27326.0,27322.0,27319.0,27327.0,559,0
2019-11-03,23:00:00,27323.0,27318.0,27317.0,27324.0,572,0
2019-11-04,00:00:00,27317.0,27317.0,27310.0,27326.0,969,0
2019-11-04,01:00:00,27318.0,27328.0,27306.0,27333.0,2218,0
2019-11-04,02:00:00,27329.0,27355.0,27313.0,27368.0,5268,0
2019-11-04,03:00:00,27355.0,27365.0,27344.0,27372.0,3331,0
2019-11-04,04:00:00,27365.0,27389.0,27364.0,27394.0,3988,0
2019-11-04,05:00:00,27389.0,27384.0,27379.0,27404.0,4282,0
2019-11-04,06:00:00,27385.0,27380.0,27375.0,27391.0,4112,0
2019-11-04,07:00:00,27380.0,27419.0,27378.0,27447.0,11290,0
2019-11-04,08:00:00,27419.0,27425.0,27405.0,27450.0,19516,0
2019-11-04,09:00:00,27425.0,27412.0,27392.0,27438.0,14969,0
2019-11-04,10:00:00,27413.0,27395.0,27393.0,27435.0,10131,0
2019-11-04,11:00:00,27394.0,27390.0,27363.0,27397.0,14662,0
2019-11-04,12:00:00,27391.0,27396.0,27374.0,27399.0,9199,0
2019-11-04,13:00:00,27396.0,27381.0,27377.0,27405.0,7164,0
2019-11-04,14:00:00,27381.0,27392.0,27341.0,27408.0,12369,0
2019-11-04,15:00:00,27393.0,27390.0,27375.0,27402.0,3696,0
2019-11-04,16:00:00,27387.0,27388.0,27387.0,27391.0,27,0
2019-11-04,17:00:00,27402.0,27444.0,27366.0,27468.0,3420,0
2019-11-04,18:00:00,27442.0,27406.0,27402.0,27446.0,1865,0
2019-11-04,19:00:00,27406.0,27417.0,27395.0,27418.0,1518,0
2019-11-04,20:00:00,27417.0,27435.0,27409.0,27436.0,1182,0
2019-11-04,21:00:00,27436.0,27451.0,27431.0,27454.0,1168,0
2019-11-04,22:00:00,27451.0,27434.0,27430.0,27452.0,1087,0
2019-11-04,23:00:00,27435.0,27430.0,27420.0,27442.0,1064,0
2019-11-05,00:00:00,27430.0,27436.0,27427.0,27445.0,917,0
2019-11-05,01:00:00,27435.0,27441.0,27413.0,27454.0,2025,0
2019-11-05,02:00:00,27441.0,27444.0,27422.0,27447.0,2802,0
2019-11-05,03:00:00,27445.0,27453.0,27439.0,27465.0,2499,0
2019-11-05,04:00:00,27454.0,27465.0,27452.0,27470.0,2330,0
2019-11-05,05:00:00,27463.0,27446.0,27420.0,27466.0,3565,0
2019-11-05,06:00:00,27446.0,27460.0,27441.0,27462.0,3224,0
2019-11-05,07:00:00,27461.0,27473.0,27454.0,27475.0,5652,0
2019-11-05,08:00:00,27474.0,27447.0,27409.0,27483.0,17818,0
