mini_nasdaq_date,mini_nasdaq_time,mini_nasdaq_open,mini_nasdaq_high,mini_nasdaq_close,mini_nasdaq_low,mini_nasdaq_volume,predict
2019-11-27,10:59:00,8427.5,8436.5,8435.5,8425.25,25227,0
2019-11-27,11:59:00,8435.5,8441.75,8437,8434.75,18081,0
2019-11-27,12:59:00,8437,8446.5,8440.25,8435.75,19185,0
2019-11-27,13:59:00,8440.25,8444,8441.25,8438.5,11009,0
2019-11-27,14:59:00,8441.25,8449,8447.5,8438.25,23085,0
2019-11-27,15:59:00,8447.5,8458.75,8456.25,8446,13500,0
2019-11-27,16:00:00,8456,8457.25,8456.5,8455.75,148,0
2019-11-27,17:59:00,8456.75,8458.25,8425.75,8420.75,9004,0
2019-11-27,18:59:00,8425.5,8429.5,8423.5,8417.75,5337,0
2019-11-27,19:59:00,8423.5,8431,8430.5,8413.75,6939,0
2019-11-27,20:59:00,8429.75,8433,8429,8424.25,3613,0
2019-11-27,21:59:00,8429,8431,8427.75,8426.5,1250,0
2019-11-27,22:59:00,8428,8429.25,8428.75,8426.75,1149,0
2019-11-27,23:59:00,8428.75,8429.75,8426.75,8424.25,1489,0
2019-11-28,00:59:00,8426.75,8428.5,8428,8423.25,1009,0
2019-11-28,01:59:00,8428.25,8434.75,8431.5,8426,2440,0
2019-11-28,02:59:00,8431.25,8433.25,8431.75,8425.75,5145,0
2019-11-28,03:59:00,8431.75,8432,8429.25,8427.25,1990,0
2019-11-28,04:59:00,8429.25,8432.5,8432.5,8428.5,1737,0
2019-11-28,05:59:00,8432.25,8439.25,8437.5,8432,2467,0
2019-11-28,06:59:00,8437.5,8444,8442.5,8437.25,2647,0
2019-11-28,07:59:00,8442.25,8442.25,8436.75,8436.25,2379,0
2019-11-28,08:59:00,8436.5,8443.25,8439.5,8434.5,3614,0
2019-11-28,09:59:00,8439.75,8441,8437.75,8437,3058,0
2019-11-28,10:59:00,8437.75,8444.25,8444,8435.75,3102,0
2019-11-28,11:59:00,8444,8447.75,8443,8442.75,2071,0
2019-11-28,12:00:00,8443.25,8444.75,8444.5,8442.75,99,0
2019-11-28,17:59:00,8442.75,8449.75,8448.75,8442,1937,0
2019-11-28,18:59:00,8449,8451,8442.5,8442.5,2007,0
2019-11-28,19:59:00,8443,8443.25,8428.5,8426,6314,0
2019-11-28,20:59:00,8428.5,8433.5,8427.25,8425.25,2911,0
2019-11-28,21:59:00,8427.25,8429,8424.75,8420.5,3093,0
2019-11-28,22:59:00,8424.75,8425,8423.75,8420.75,1554,0
2019-11-28,23:59:00,8424,8424.25,8419,8414.5,3681,0
2019-11-29,00:59:00,8419,8423.5,8419.75,8408.5,4489,0
2019-11-29,01:59:00,8419.75,8424.5,8422.75,8416.75,3615,0
2019-11-29,02:59:00,8423,8428.5,8427.5,8414.75,5975,0
2019-11-29,03:59:00,8427.5,8433.25,8430.25,8427,4702,0
2019-11-29,04:59:00,8430.25,8433,8429.5,8426.5,2650,0
2019-11-29,05:59:00,8429.5,8436.25,8434,8427,2332,0
2019-11-29,06:59:00,8434.25,8440.5,8435,8432.5,3439,0
2019-11-29,07:59:00,8435,8436.25,8430.5,8429.5,4473,0
2019-11-29,08:59:00,8430.25,8436.25,8435.75,8421.5,33892,0
2019-11-29,09:59:00,8435.75,8440.5,8432.5,8424.5,32084,0
2019-11-29,10:59:00,8432.25,8433.5,8428,8415.5,24743,0
2019-11-29,11:59:00,8428,8428.75,8408.75,8406.5,23310,0
2019-11-29,12:15:00,8408.75,8423.75,8422.5,8408.75,12202,0
2019-12-01,17:59:00,8424.5,8435.25,8431,8422.5,3879,0
2019-12-01,18:59:00,8431.25,8450,8445.5,8430,6510,0
2019-12-01,19:59:00,8445.5,8447.5,8446.75,8442,3668,0
2019-12-01,20:59:00,8446.25,8452.75,8448.25,8444.75,3284,0
2019-12-01,21:59:00,8448.25,8450.5,8449.25,8447,1759,0
2019-12-01,22:59:00,8449.25,8452.5,8448.75,8448.5,3255,0
2019-12-01,23:59:00,8449,8449.25,8447.75,8446,3244,0
2019-12-02,00:59:00,8447.75,8448.5,8444.75,8443.5,3574,0
2019-12-02,01:59:00,8444.5,8444.5,8438,8436.25,5606,0
2019-12-02,02:59:00,8437.75,8457.25,8452.75,8435.75,9663,0
2019-12-02,03:59:00,8452.25,8454,8444.5,8442,8545,0
