te_date,te_time,te_open,te_high,te_low,te_close,te_volume,predict
2021-02-04,00:00:00,15717.0,15728.0,15701.0,15733.0,3361,0
2021-02-04,01:00:00,15727.0,15745.0,15714.0,15748.0,1565,0
2021-02-04,02:00:00,15745.0,15781.0,15738.0,15790.0,2386,0
2021-02-04,03:00:00,15781.0,15770.0,15770.0,15795.0,1200,0
2021-02-04,04:00:00,15770.0,15741.0,15732.0,15770.0,1741,0
2021-02-04,05:00:00,15740.0,15738.0,15737.0,15741.0,71,0
2021-02-04,08:00:00,15721.0,15646.0,15638.0,15726.0,11618,0
2021-02-04,09:00:00,15646.0,15734.0,15542.0,15740.0,58709,0
2021-02-04,10:00:00,15735.0,15747.0,15703.0,15777.0,28122,0
2021-02-04,11:00:00,15745.0,15657.0,15631.0,15756.0,27642,0
2021-02-04,12:00:00,15656.0,15658.0,15625.0,15693.0,18540,0
2021-02-04,13:00:00,15658.0,15701.0,15636.0,15704.0,14729,0
2021-02-04,15:00:00,15735.0,15746.0,15730.0,15782.0,5476,0
2021-02-04,16:00:00,15746.0,15761.0,15741.0,15772.0,2307,0
2021-02-04,17:00:00,15762.0,15750.0,15743.0,15766.0,1122,0
2021-02-04,18:00:00,15748.0,15762.0,15742.0,15765.0,995,0
2021-02-04,19:00:00,15762.0,15748.0,15745.0,15765.0,904,0
2021-02-04,20:00:00,15747.0,15757.0,15744.0,15760.0,919,0
2021-02-04,21:00:00,15757.0,15761.0,15753.0,15764.0,761,0
2021-02-04,22:00:00,15761.0,15758.0,15746.0,15798.0,7760,0
2021-02-04,23:00:00,15756.0,15752.0,15748.0,15776.0,3234,0
2021-02-05,00:00:00,15751.0,15770.0,15749.0,15774.0,1851,0
2021-02-05,01:00:00,15770.0,15779.0,15770.0,15790.0,1670,0
2021-02-05,02:00:00,15779.0,15784.0,15777.0,15794.0,716,0
2021-02-05,03:00:00,15784.0,15784.0,15776.0,15790.0,551,0
2021-02-05,04:00:00,15784.0,15806.0,15776.0,15808.0,1673,0
2021-02-05,05:00:00,15807.0,15817.0,15805.0,15817.0,220,0
