te_date,te_time,te_open,te_high,te_close,te_low,te_volume,predict
2021-01-07,15:00:00,15238.0,15250.0,15252.0,15233.0,1749.0,0
2021-01-07,15:15:00,15251.0,15274.0,15282.0,15250.0,2774.0,0
2021-01-07,15:30:00,15274.0,15275.0,15283.0,15271.0,1207.0,0
2021-01-07,15:45:00,15275.0,15276.0,15277.0,15267.0,771.0,0
2021-01-07,16:00:00,15274.0,15244.0,15274.0,15226.0,2558.0,0
2021-01-07,16:15:00,15244.0,15259.0,15259.0,15240.0,1031.0,0
2021-01-07,16:30:00,15257.0,15251.0,15258.0,15237.0,869.0,0
2021-01-07,16:45:00,15251.0,15252.0,15253.0,15242.0,433.0,0
2021-01-07,17:00:00,15253.0,15251.0,15259.0,15244.0,661.0,0
2021-01-07,17:15:00,15252.0,15254.0,15255.0,15249.0,320.0,0
2021-01-07,17:30:00,15254.0,15245.0,15254.0,15242.0,567.0,0
2021-01-07,17:45:00,15246.0,15252.0,15253.0,15240.0,415.0,0
2021-01-07,18:00:00,15252.0,15255.0,15256.0,15250.0,197.0,0
2021-01-07,18:15:00,15255.0,15261.0,15265.0,15253.0,816.0,0
2021-01-07,18:30:00,15260.0,15256.0,15262.0,15253.0,401.0,0
2021-01-07,18:45:00,15256.0,15248.0,15256.0,15244.0,467.0,0
2021-01-07,19:00:00,15247.0,15249.0,15249.0,15238.0,647.0,1
2021-01-07,19:15:00,15249.0,15252.0,15254.0,15249.0,129.0,0
2021-01-07,19:30:00,15252.0,15249.0,15256.0,15249.0,300.0,0
2021-01-07,19:45:00,15249.0,15247.0,15255.0,15245.0,361.0,0
2021-01-07,20:00:00,15247.0,15254.0,15254.0,15244.0,169.0,0
2021-01-07,20:15:00,15255.0,15259.0,15263.0,15251.0,392.0,0
2021-01-07,20:30:00,15259.0,15271.0,15274.0,15257.0,691.0,0
2021-01-07,20:45:00,15272.0,15270.0,15275.0,15265.0,983.0,0
2021-01-07,21:00:00,15270.0,15268.0,15272.0,15264.0,552.0,0
2021-01-07,21:15:00,15269.0,15270.0,15271.0,15266.0,234.0,0
2021-01-07,21:30:00,15269.0,15273.0,15277.0,15269.0,453.0,0
2021-01-07,21:45:00,15273.0,15270.0,15274.0,15263.0,339.0,0
2021-01-07,22:00:00,15270.0,15270.0,15279.0,15267.0,412.0,0
2021-01-07,22:15:00,15271.0,15270.0,15273.0,15267.0,391.0,0
2021-01-07,22:30:00,15271.0,15263.0,15287.0,15258.0,2233.0,0
2021-01-07,22:45:00,15264.0,15278.0,15280.0,15247.0,2030.0,0
2021-01-07,23:00:00,15278.0,15294.0,15297.0,15278.0,2576.0,0
2021-01-07,23:15:00,15295.0,15318.0,15327.0,15294.0,3022.0,0
2021-01-07,23:30:00,15318.0,15348.0,15353.0,15315.0,3241.0,0
2021-01-07,23:45:00,15347.0,15366.0,15375.0,15347.0,2932.0,0
2021-01-08,00:00:00,15366.0,15381.0,15401.0,15364.0,4018.0,0
2021-01-08,00:15:00,15382.0,15383.0,15394.0,15374.0,1362.0,0
2021-01-08,00:30:00,15382.0,15394.0,15395.0,15381.0,913.0,0
2021-01-08,00:45:00,15393.0,15331.0,15397.0,15305.0,4087.0,0
2021-01-08,01:00:00,15330.0,15327.0,15355.0,15315.0,1818.0,1
2021-01-08,01:15:00,15327.0,15328.0,15336.0,15314.0,895.0,0
2021-01-08,01:30:00,15328.0,15349.0,15354.0,15328.0,905.0,0
2021-01-08,01:45:00,15347.0,15363.0,15365.0,15346.0,656.0,0
2021-01-08,02:00:00,15363.0,15360.0,15371.0,15349.0,715.0,0
2021-01-08,02:15:00,15360.0,15359.0,15365.0,15355.0,280.0,0
