soybean_date,soybean_time,soybean_open,soybean_high,soybean_close,soybean_low,soybean_volume,predict
2020-09-15,23:59:00,990,990.75,990.25,989.5,336,0
2020-09-16,00:59:00,990.5,990.5,988.25,988.25,1064,0
2020-09-16,01:59:00,988.25,993.75,992.75,988.25,3937,0
2020-09-16,02:59:00,992.75,994,994,991.75,926,0
2020-09-16,03:59:00,994,994.75,994.5,993.25,834,0
2020-09-16,04:59:00,994.25,995,994.5,993.75,1257,0
2020-09-16,05:59:00,994.5,996,996,994.25,959,0
2020-09-16,06:59:00,996,997.5,996.25,995.5,2244,0
2020-09-16,07:45:00,996.25,998,997.75,996.25,1987,0
2020-09-16,08:59:00,997.25,1007.5,1005.75,997.25,28363,0
2020-09-16,09:59:00,1005.75,1012.25,1010,1004,33382,0
2020-09-16,10:59:00,1010.25,1010.25,1006.75,1005.75,16563,0
2020-09-16,11:59:00,1006.75,1008.75,1008.25,1006.5,8700,0
2020-09-16,12:59:00,1008.25,1013,1012,1008,12550,0
2020-09-16,13:20:00,1011.75,1013.75,1011.5,1010.5,10990,0
2020-09-16,19:59:00,1011.5,1013.75,1013.75,1010.75,4194,0
2020-09-16,20:59:00,1013.5,1018.25,1015.5,1013.25,6650,0
2020-09-16,21:59:00,1015.5,1015.75,1011.75,1010.75,5175,0
2020-09-16,22:59:00,1011.5,1011.75,1010.5,1009,2445,0
2020-09-16,23:59:00,1010.75,1010.75,1010.5,1009.75,629,0
2020-09-17,00:59:00,1010.5,1012.5,1011.75,1009.75,1532,0
2020-09-17,01:59:00,1012,1012,1009,1009,2616,0
2020-09-17,02:59:00,1009.25,1012.75,1011.75,1009,1160,0
2020-09-17,03:59:00,1012,1015.75,1015,1011.75,1502,0
2020-09-17,04:59:00,1015,1015.25,1014.5,1013,919,0
2020-09-17,05:59:00,1014.25,1015.25,1013.75,1013.5,804,0
2020-09-17,06:59:00,1013.75,1015,1012.75,1012.25,1587,1
2020-09-17,07:45:00,1012.75,1013,1006.5,1005,6833,0
2020-09-17,08:59:00,1007,1014,1012,1007,17585,0
2020-09-17,09:59:00,1012,1015.75,1014.75,1011,19926,0
2020-09-17,10:59:00,1014.75,1022,1021,1014.75,27919,0
2020-09-17,11:59:00,1021,1032.25,1030,1020.75,47203,0
2020-09-17,12:59:00,1030.25,1030.75,1027.25,1022.75,33243,0
2020-09-17,13:20:00,1027.5,1030.25,1027.5,1027,11285,0
2020-09-17,19:59:00,1028,1035.5,1034.25,1027.25,7990,0
2020-09-17,20:59:00,1034.5,1043.25,1042.75,1034.5,8347,0
2020-09-17,21:59:00,1042.75,1044,1043.75,1041.25,3691,0
2020-09-17,22:59:00,1043.5,1044,1042,1041.25,2077,0
2020-09-17,23:59:00,1042,1042.25,1040.25,1038.25,2098,0
2020-09-18,00:59:00,1040.5,1042.5,1041.25,1039.75,2810,0
2020-09-18,01:59:00,1041.25,1041.5,1041.25,1039.25,1792,0
2020-09-18,02:59:00,1041.25,1043,1043,1040.5,1490,0
2020-09-18,03:59:00,1042.75,1043.5,1042.5,1041.5,1409,0
2020-09-18,04:59:00,1042.5,1043.25,1042,1041.5,1901,0
2020-09-18,05:59:00,1042,1042.25,1040.25,1039.25,1760,0
2020-09-18,06:59:00,1040,1041.5,1038.75,1038.5,1794,0
2020-09-18,07:45:00,1038.75,1040.25,1038,1037,4829,0
2020-09-18,08:59:00,1037.75,1041.25,1035,1028.5,29685,0
2020-09-18,09:59:00,1035,1038.75,1038,1033.75,20394,0
2020-09-18,10:59:00,1038,1040.75,1039.25,1037.25,12211,0
2020-09-18,11:59:00,1039.25,1043.25,1040.75,1038.25,14896,0
2020-09-18,12:59:00,1040.75,1046.75,1045.25,1040.5,17736,0
2020-09-18,13:20:00,1045.25,1045.5,1043.5,1042.25,10357,0
2020-09-20,19:59:00,1041,1042.75,1042,1036.5,7738,0
2020-09-20,20:59:00,1042.25,1045.25,1042,1041.5,5019,0
2020-09-20,21:59:00,1042,1042.5,1042,1040.75,1099,0
2020-09-20,22:59:00,1042,1043,1043,1040.5,986,0
2020-09-20,23:59:00,1043,1043.5,1043.25,1042.5,365,0
2020-09-21,00:59:00,1043.5,1044.25,1043.5,1041.75,1044,0
2020-09-21,01:59:00,1043.75,1044.25,1042.5,1042.25,1396,0
2020-09-21,02:59:00,1042.5,1043.25,1040,1040,1740,0
2020-09-21,03:59:00,1040.25,1041.25,1039.25,1038.25,3081,0
2020-09-21,04:59:00,1039.25,1042.5,1039.5,1039,1514,0
2020-09-21,05:59:00,1039.5,1039.75,1038,1036.5,1940,0
2020-09-21,06:59:00,1038.25,1039.75,1039.75,1036,2026,0
2020-09-21,07:45:00,1039.5,1041,1039.25,1037.5,2901,1
2020-09-21,08:59:00,1038.75,1039.25,1033.5,1031.75,21623,0
2020-09-21,09:59:00,1033.5,1033.75,1028.75,1021.25,41889,0
2020-09-21,10:59:00,1028.5,1033,1026,1023.25,24358,0
2020-09-21,11:59:00,1026,1029.25,1027.25,1025.75,17962,0
2020-09-21,12:59:00,1027,1027.75,1026,1023.5,13987,0
2020-09-21,13:20:00,1026,1026,1021.25,1020.5,8466,0
2020-09-21,19:59:00,1020.25,1026.75,1023.5,1016.75,8981,0
2020-09-21,20:59:00,1023.25,1025.5,1024.75,1019,4547,0
2020-09-21,21:59:00,1024.5,1026.5,1025.75,1023.5,2913,0
2020-09-21,22:59:00,1025.75,1026.5,1024.5,1024.25,1631,0
2020-09-21,23:59:00,1024.75,1024.75,1024.5,1024,600,0
2020-09-22,00:59:00,1024.75,1025,1022,1021.5,1194,0
2020-09-22,01:59:00,1022,1023,1017.5,1017.5,2397,0
2020-09-22,02:59:00,1017.75,1019.25,1016.75,1013.25,4947,0
2020-09-22,03:59:00,1017,1019.5,1019.25,1016.5,2006,0
2020-09-22,04:59:00,1019.25,1028.25,1027.5,1019.25,3610,0
2020-09-22,05:59:00,1027.5,1028.75,1028,1025.5,1311,1
